,Time_s,SOC
0,0,0.95
1,300,0.949717959
2,600,0.949435919
3,900,0.949153878
4,1200,0.948871838
5,1500,0.948589797
6,1800,0.948307756
7,2100,0.948025716
8,2400,0.947743675
9,2700,0.947461635
10,3000,0.947179594
11,3300,0.946897553
12,3600,0.946615513
13,3900,0.946333472
14,4200,0.946051432
15,4500,0.945769391
16,4800,0.94548735
17,5100,0.94520531
18,5400,0.944923269
19,5700,0.944641229
20,6000,0.944359188
21,6300,0.944077147
22,6600,0.943795107
23,6900,0.943513066
24,7200,0.943231026
25,7500,0.942948985
26,7800,0.942666944
27,8100,0.942384904
28,8400,0.942102863
29,8700,0.941820823
30,9000,0.941538782
31,9300,0.941256741
32,9600,0.940974701
33,9900,0.94069266
34,10200,0.94041062
35,10500,0.940128579
36,10800,0.939846538
37,11100,0.939564498
38,11400,0.939282457
39,11700,0.939000417
40,12000,0.938718376
41,12300,0.938436335
42,12600,0.938154295
43,12900,0.937872254
44,13200,0.937590214
45,13500,0.937308173
46,13800,0.937026132
47,14100,0.936744092
48,14400,0.936462051
49,14700,0.936180011
50,15000,0.93589797
51,15300,0.935615929
52,15600,0.935333889
53,15900,0.935051848
54,16200,0.934769808
55,16500,0.934487767
56,16800,0.934205726
57,17100,0.933923686
58,17400,0.933641645
59,17700,0.933359605
60,18000,0.933077564
61,18300,0.932795523
62,18600,0.932513483
63,18900,0.932231442
64,19200,0.931949402
65,19500,0.931667361
66,19800,0.93138532
67,20100,0.93110328
68,20400,0.930821239
69,20700,0.930539199
70,21000,0.930257158
71,21300,0.929975117
72,21600,0.929693077
73,21900,0.920240637
74,22200,0.917322551
75,22500,0.912962238
76,22800,0.910170695
77,23100,0.906786159
78,23400,0.898732411
79,23700,0.895222372
80,24000,0.890663731
81,24300,0.887723283
82,24600,0.887106911
83,24900,0.886824871
84,25200,0.88654283
85,25500,0.88626079
86,25800,0.885978749
87,26100,0.885696708
88,26400,0.885414668
89,26700,0.885132627
90,27000,0.884850587
91,27300,0.884568546
92,27600,0.884286505
93,27900,0.884004465
94,28200,0.883722424
95,28500,0.883440384
96,28800,0.883158343
97,29100,0.882876302
98,29400,0.882594262
99,29700,0.882312221
100,30000,0.882030181
101,30300,0.88174814
102,30600,0.881466099
103,30900,0.881184059
104,31200,0.880902018
105,31500,0.880619978
106,31800,0.880337937
107,32100,0.880055896
